"CR-02274","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE"
"CR-04401","FIANZA PERSONAL"
"CR-04403","FIANZA PERSONAL"
"CR-04405","FIANZA PERSONAL"
"CR-04406","FIANZA PERSONAL"
"CR-04407","FIANZA PERSONAL"
"CR-04408","FIANZA PERSONAL"
"CR-04411","FIANZA PERSONAL"
"CR-04412","FIANZA PERSONAL"
"CR-04413","FIANZA PERSONAL"
"CR-04414","FIANZA PERSONAL"
"CR-04415","FIANZA PERSONAL"
"CR-04416","FIANZA PERSONAL"
"CR-04417","FIANZA PERSONAL"
"CR-04418","FIANZA PERSONAL"
"CR-04419","FIANZA PERSONAL"
"CR-04420","FIANZA PERSONAL"
"CR-04421","FIANZA PERSONAL"
"CR-04422","FIANZA PERSONAL"
"CR-04423","FIANZA PERSONAL"
"CR-04424","FIANZA PERSONAL"
"CR-04425","FIANZA PERSONAL"
"CR-04426","FIANZA PERSONAL"
"CR-04427","FIANZA PERSONAL"
"CR-04428",
"CR-04429","FIANZA PERSONAL"
"CR-04430","FIANZA PERSONAL"
"CR-04431","FIANZA PERSONAL"
"CR-04432","FIANZA PERSONAL"
"CR-04433","FIANZA PERSONAL"
"CR-04434","FIANZA PERSONAL"
"CR-04435","FIANZA PERSONAL"
"CR-04436","FIANZA PERSONAL"
"CR-04437","FIANZA PERSONAL"
"CR-04438","FIANZA PERSONAL"
"CR-04439","FIANZA PERSONAL"
"CR-04440","FIANZA PERSONAL"
"CR-04441","FIANZA PERSONAL"
"CR-04445","FIANZA PERSONAL"
"CR-04453","FIANZA PERSONAL"
"CR-04454","FIANZA PERSONAL"
"CR-04457","FIANZA PERSONAL"
"CR-04459","FIANZA PERSONAL"
"CR-04460","FIANZA PERSONAL"
"CR-04461","FIANZA PERSONAL"
"CR-04463","FIANZA PERSONAL"
"CR-04464","FIANZA PERSONAL"
"CR-04466","FIANZA PERSONAL"
"CR-04470","FIANZA PERSONAL"
"CR-04471","FIANZA PERSONAL"
"CR-04473","FIANZA PERSONAL"
"CR-04474","FIANZA PERSONAL"
"CR-04475","FIANZA PERSONAL"
"CR-04476","FIANZA PERSONAL"
"CR-04477","FIANZA PERSONAL"
"CR-04478","FIANZA PERSONAL"
"CR-04479","FIANZA PERSONAL"
"CR-04480","FIANZA PERSONAL"
"CR-04481","FIANZA PERSONAL"
"CR-04482","FIANZA PERSONAL"
"CR-04483","FIANZA PERSONAL"
"CR-04485","FIANZA ERSONAL"
"CR-04486","FIANZA PERSONAL"
"CR-04487","FIANZA PERSONAL"
"CR-04488","FIANZA PERSONAL"
"CR-04489","FIANZA PERSONAL"
"CR-04490","FIANZA PERSONAL"
"CR-04491","FIANZA PERSONAL"
"CR-04492","FIANZA PERSONAL"
"CR-04493","FIANZA PERSONAL"
"CR-04494","FIANZA PERSONAL"
"CR-04495","FIANZA PERSONAL"
"CR-04496","FIANZA PERSONAL"
"CR-04497","FIANZA PERSONAL"
"CR-04498","FIANZA PERSONAL"
"CR-04499","FIANZA PERSONAL"
"CR-04500","FIANZA PERSONAL"
"CR-04501","FIANZA PERSONAL"
"CR-04502","FIANZA PERSONAL"
"CR-04507","FIANZA PERSONAL"
"CR-04508","FIANZA PERSONAL"
"CR-04509","FIANZA PERSONAL"
"CR-04510","FIANZA PERSONAL"
"CR-04511","FIANZA PERSONAL"
"CR-04513","FIANZA PERSONAL"
"CR-04516","FIANZA PERSONAL"
"CR-04518","FIANZA PERSONAL"
"CR-04520","FIANZA PERSONAL"
"CR-04522","FIANZA PERSONAL"
"CR-04523","FIANZA PERSONAL"
"CR-04530","FIANZA PERSONAL"
"CR-04531","FIANZA PERSONAL"
"CR-04532","FIANZA PERSONAL"
"CR-04534","FIANZA PERSONAL"
"CR-04535","FIANZA PERSONAL"
"CR-04536","FIANZA PERSONAL"
"CR-04537","FIANZA PERSONAL"
"CR-04538","FIANZA PERSONAL"
"CR-04539","FIANZA PERSONAL"
"CR-04541","FIANZA PERSONAL"
"CR-04542","FIANZA PERSONAL"
"CR-04544","FIANZA PERSONAL"
"CR-04546","FIANZA PERSONAL"
"CR-04548","FIANZA PERSONAL"
"CR-04550","FIANZA PERSONAL"
"CR-04551","FIANZA PERSONAL"
"CR-04552","FIANZA PERSONAL"
"CR-04554","FIANZA PERSONAL"
"CR-04555","FIANZA PERSONAL"
"CR-04556","FIANZA PERSONAL"
"CR-04557","FIANZA PERSONAL"
"CR-04558","FIANZA PERSONAL"
"CR-04559","FIANZA PERSONAL"
"CR-04560","FIANZA PERSONAL"
"CR-04561","FIANZA PERSONAL"
"CR-04562","FIANZA PERSONAL"
"CR-04563","FIANZA PERSONAL"
"CR-04564","FIANZA PERSONAL"
"CR-04568","FIANZA PERSOANL"
"CR-04570","FIANZA PERSONAL"
"CR-04572","FIANZA PERSONAL"
"CR-04573","FIANZA PERSONAL"
"CR-04576","FIANZA PERSONAL"
"CR-04579","FIANZA PERSONAL"
"CR-04582","FIANZA PERSONAL"
"CR-04584","FIANZA PERSONAL"
"CR-04585","FIANZA PERSONAL"
"CR-04587","FIANZA PERSONAL"
"CR-04588","FIANZA PERSONAL"
"CR-04589","FIANZA PERSONAL"
"CR-04590","FIANZA PERSONAL"
"CR-04592","FIANZA PERSONAL"
"CR-04596","FIANZA PERSONAL"
"CR-04598","FIANZA PERSONAL"
"CR-04599","FIANZA PERSONAL"
"CR-04603","FIANZA PERSONAL"
"CR-04606","FIANZA PERSONAL"
"CR-04609","FIANZA PERSONAL"
"CR-04610","FIANZA PERSONAL"
"CR-04614","FIANZA PERSONAL"
"CR-04617","FIANZA PERSONAL"
"CR-04619","FIANZA PERSONAL"
"CR-04623","FIANZA PERSONAL"
"CR-04624","FIANZA PERSONAL"
"CR-04628","FIANZA PERSONAL"
"CR-04630","FIANZA PERSONAL"
"CR-04633","FIANZA PERSONAL"
"CR-04636","FIANZA PERSONAL"
"CR-04637","FIANZA PERSONAL"
"CR-04648","FIANZA PERSONAL"
"CR-04653","FIANZA PERSONAL"
"CR-04720","FIANZA PERSONAL"
"CR-04749","FIANZA PERSONAL"
"CR-04752","FIANZA PERSONAL"
"CR-04753","FIANZA PERSONAL"
"CR-04756","FIANZA PERSONAL"
"CR-04760","FIANZA PERSONAL"
"CR-04762","FIANZA PERSONAL"
"CR-04764","FIANZA PERSONAL"
"CR-04767","FIANZA PERSONAL"
"CR-04770","FIANZA PERSONAL"
"CR-04772","FIANZA PERSONAL"
"CR-04775","FIANZA PERSONAL"
"CR-04779","FIANZA PERSONAL"
"CR-04780","FIANZA PERSONAL"
"CR-04781","FIANZA PERSONAL"
"CR-04782","FIANZA PERSONAL"
"CR-04784","FIANZA PERSONAL"
"CR-04785","FIANZA PERSONAL"
"CR-04788","FIANZA PERSONAL"
"CR-04790","FIANZA PERSONAL"
"CR-04791","FIANZA PERSONAL"
"CR-04794","FIANZA PERSONAL"
"CR-04796","FIANZA PERSONAL"
"CR-04799","FIANZA PERSONAL"
"CR-04802","FIANZA PERSONAL"
"CR-04803","FIANZA PERSONAL"
"CR-04805","FIANZA PERSONAL"
"CR-04807","FIANZA PERSONAL"
"CR-04810","FIANZA PERSONAL"
"CR-04812","FIANZA PERSONAL"
"CR-04815","FIANZA PERSONAL"
"CR-04816","FIANZA PERSONAL"
"CR-04819","FIANZA PERSONAL"
"CR-04822","FIANZA PERSONAL"
"CR-04824","FIANZA PERSONAL"
"CR-04825","FIANZA PERSONAL"
"CR-04828","FIANZA PERSONAL"
"CR-04830","FIANZA PERSONAL"
"CR-04831","FIANZA PERSONAL"
"CR-04832","FIANZA PERSONAL"
"CR-04833","FIANZA PERSONAL"
"CR-04835","FIANZA PERSONAL"
"CR-04836","FIANZA PERSONAL"
"CR-04838","FIANZA PERSONAL"
"CR-04839","FIANZA PERSONAL"
"CR-04840","FIANZA PERSONAL"
"CR-04841","FIANZA PERSONAL"
"CR-04861","FIANZA PERSONAL"
"CR-04862","FIANZA PERSONAL"
"CR-04866","FIANZA PERSONAL"
"CR-04978","FIANZA PERSONAL"
"CR-04980","FIANZA PERSONAL"
"CR-04983","FIANZA PERSONAL"
"CR-04986","FIANZA PERSONAL"
"CR-04988","FIANZA PERSONAL"
"CR-04991","FIANZA PERSONAL"
"CR-04994","FIANZA PERSONAL"
"CR-04995","FIANZA PERSONAL"
"CR-04997","FIANZA PERSONAL"
"CR-04999","FIANZA PERSONAL"
"CR-05002","FIANZA PERSONAL"
"CR-05008","FIANZA PERSONAL"
"CR-05009","FIANZA PERSONAL"
"CR-05010","FIANZA PERSONAL"
"CR-05011","FIANZA PERSONAL"
"CR-05013","FIANZA PERSONAL"
"CR-05015",
"CR-05018","FIANZA PERSONAL"
"CR-05021","FIANZA PERSONAL"
"CR-05024","FIANZA PERSONAL"
"CR-05027","FIANZA PERSONAL"
"CR-05030","FIANZA PERSONAL"
"CR-05032","FIANZA PERSONAL"
"CR-05033",
"CR-05034","FIANZA PERSONAL"
"CR-05035","FIANZA PERSONAL"
"CR-05036","FIANZA PERSONAL"
"CR-05039","FIANZA PERSONAL"
"CR-05041","FIANZA PERSONAL"
"CR-05042","FIANZA PERSONAL"
"CR-05044","FIANZA PERSONAL"
"CR-05046","FIANZA PERSONAL"
"CR-05048","FIANZA PERSONAL"
"CR-05050","FIANZA PERSONAL"
"CR-05052","FIANZA PERSONAL"
"CR-05054",
"CR-05057","FIANZA PERSONAL"
"CR-05059","FIANZA PERSONAL"
"CR-05060","FIANZA PERSONAL"
"CR-05072",
"CR-05084","FIANZA PERSONAL"
"CR-05087",
"CR-05088","FIANZA PERSONAL"
"CR-05089",
"CR-05099","FIANZA PERSONAL"
"CR-05100","FIANZA PERSONAL"
"CR-05101","FIANZA PERSONAL"
"CR-05102","FIANZA PERSONAL"
"CR-05103","FIANZA PERSONAL"
"CR-05104","FIANZA PERSONAL"
"CR-05105","FIANZA PERSONAL"
"CR-05106","FIANZA PERSONAL"
"CR-05107","FIANZA PERSONAL"
"CR-05108","FIANZA PERSONAL"
"CR-05109","FIANZA PERSONAL"
"CR-05110","FIANZA PERSONAL"
"CR-05111","FIANZA PERSONAL"
"CR-05112","FIANZA PERSONAL"
"CR-05113","FIANZA PERSONAL"
"CR-05114","FIANZA PERSONAL"
"CR-05115","FIANZA PERSONAL"
"CR-05395","FIANZA PERSONAL"
"CR-05691","FIANZA PERSONAL"
"CR-05694","FIANZA PERSONAL"
"CR-05695","FIANZA PERSONAL"
"CR-06098","letra de  cambio"
"CR-06367","SOBRE EL VEHICULO"
"CR-06368","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06369","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06370","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06371","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06372","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06373","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06374","SOBRE EL VEHICULO(GARNTIA MOBILIARIA)"
"CR-06375","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06376","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06377","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06378","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06379","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06380","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06381","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06382","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06383","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06384","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06385","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06386","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06387","SOBRE EL VEHICULO(GARNATIA MOBILIARIA)"
"CR-06388","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06389","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06390","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06391","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06392","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06393","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06394","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06395","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06396","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06397","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06398","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06399","FIANZA PERSONAL(ASOC.COOP. LOS CENTAUROS)"
"CR-06400","FIANZA PERSONAL(ASOC. CIVIL DE CONDUCTORES LINEA VENEZUELA)"
"CR-06401","FIANZA PERSONAL (ASOC. CIVIL DE CONUCTORES LINEA VENEZUELA)"
"CR-06402","FIANZA PERSONAL (ASOC. CIVIL DE CONDUCTORES LINEA VENEZUELA)"
"CR-06403","FIANZA PERSONAL (ASOC. CIVIL LOS CENTAUROS)"
"CR-06404","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06405","FIANZA PERSONAL (ASOC. CIVIL DE AUTOMOTOR POR PUESTO CIUDAD MARQUESA)"
"CR-06406","FIANZA PERSONAL(ASOC. CIVIL DE  AUTOMOTOR POR PUESTO CIUDAD MARQUESA)"
"CR-06407","FIANZA PERSONAL (ASOC CIVIL DE AUTOMOTORES POR PUESTO CIUDAD MARQUESA)"
"CR-06408","FIANZA PERSONAL(ASOC, CIVIL POR PUESTO LINEA VENEZUELA)"
"CR-06409","FIANZA PERSONAL (ASOC. CIVIL DE AUTOMOTOR POR PUESTO CIUDAD MARQUESA)"
"CR-06410","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06411","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06412","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06413","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06414","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06415","SOBRE EL VEHICULO (GARANTIA MOBILIARIA)"
"CR-06416","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06417","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06418","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06419","FIANZA PERSONAL(ASOC. CIVIL DE AUTOMOTOR LOS CENTAUROS)"
"CR-06420","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06421","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06422","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06423","PRENDA SIN DESPLAZAMIENTO DE POSECION SOBRE EL SEMOVIENTE"
"CR-06424","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE EL SEMOVIENTE"
"CR-06425","GARANTIA SIN DESPLAZAMIENTO DE POSESION SOBRE EL SEMOVIENTE"
"CR-06426","GARANTIA SIN DESPLAZAMIENTO DE POSESION SOBRE EL SEMOVIENTE"
"CR-06427","PRENDA SIN DESPLAZAMIENTO DE POSESION SOBRE EL SEMOVIENTE"
"CR-06428","PRENDA SIN DESPLAZAMINTO DE POSESION SOBRE EL SEMOVIENTE"
"CR-06580","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06581","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06582","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06583","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06584","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06585","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06587","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06588","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06589","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06591","SOBRE EL VEHICULO(GARANTIA MOBILIARIA9"
"CR-06592","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06593","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06594","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06595","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06596","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06597","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06598","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06599","SOBRE EL VEHICULO(GARANTIA MPBILIARIA)"
"CR-06600","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06601","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06603","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06604","SOBRE EL VEHICULO8GARANTIA MOBILIARIA)"
"CR-06605","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06606","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06607","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06608","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06609","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06610","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06611","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06612","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06613","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06614","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06615","SOBRE EL VEHICULO(HIPOTECA MOBILIARIA)"
"CR-06616","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06617","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06619","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06620","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06621","SOBRE EL VEHICULO(GARANTIA MOBILIARIA)"
"CR-06622","FIANZA PERSONAL(ASOC. COOPERATIVA DE TRANSPORTE URBANO EL PILAR R.L."
"CR-06649","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06651","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06652","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06653","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06654","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06655","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06656","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06657","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06658","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06659","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06660","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06661","FIANZA PERSONAL (UNION DE CONDUCTORES JUAN PABLO II A.C)"
"CR-06662","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06663","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06664","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06665","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06666","HIPOTECA MOBILIARIA(SOBRE EL VEHICULO)"
"CR-06733","FIANZA PERSONAL SOBRE LA ASOC.COOPERATIVA DE TRANSPORTE URBANO EL PILAR"
"CR-06813","HIPOTECA MOBILIARIA SOBRE LA MAQUINARIA"
"CR-06843","FIANZA SOLIDARIA"
"CR-06844","FIANZA SOLIDARIA"
"CR-06845","FIANZA SOLIDARIA"
"CR-06848","FIANZA SOLIDARIA"
"CR-06850","FIANZA SOLIDARIA"
"CR-06852","FIANZA SOLIDARIA"
"CR-06853","FIANZA SOLIDARIA"
"CR-06854","FIANZA SOLIDARIA"
"CR-06855","FIANZA SOLIDARIA"
"CR-06860","FIANZA SOLIDARIA"
"CR-06862","FIANZA SOLIDARIA"
"CR-06863","FIANZA SOLIDARIA"
"CR-06864","FIANZA SOLIDARIA"
"CR-06866","FIANZA SOLIDARIA"
"CR-06867","FIANZA SOLIDARIA"
"CR-06870",
"CR-06986","FIANZA SOLIDARIA"
"CR-06987","FIANZA SOLIDARIA"
"CR-06988","FIANZA SOLIDARIA"
"CR-07036","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07038","HIPOTECA MOVILIARIA SOBRE EL VEHICULO"
"CR-07040","HIPOTECA MOVILIARIA SOBRE VEHICULO"
"CR-07041","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07046","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07048","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07051","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07053","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07054","HIPOTECA MOVILIARIA DE VEHICULO"
"CR-07055","GARANTIA REAL SIN PRENDA DE DESPLAZAMIENTO"
"CR-07057","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07058","HIPOTECA MOVILIARA DE AUTOMOVIL"
"CR-07059","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07060","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07061","GARANTIA REAL SIN PRENDA DE DESPLAZAMIENTO"
"CR-07062","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07063","HIPOTECA MOVILIARIA DE VEHICULO"
"CR-07064","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07065","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07067","GARANTIA REAL SIN PRENDA DE DESPLAZAMIENTO SOBRE LOS EQUIPOS"
"CR-07070","HIPOTECA MOVILIARA DE VEHICULO"
"CR-07073","GARANTIA REAL SIN PRENDA DE DESPLAZAMIENTO"
"CR-07074","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07075","HIPOTECA MOVILIARA SOBRE EL VEHICULO"
"CR-07076","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07077","HIPOTECA MOVILIARIA DE VEHICULO"
"CR-07078","HIPOTACA MOVILIARIA DE VEHICULO"
"CR-07079","FIANZA SOLIDRIA"
"CR-07080","HIPOTECA MOVILIARA DE VEHICULO"
"CR-07081","HIPOTECA MOVILIARIA SOBRE VEHICULO"
"CR-07083","FIANZA SOLIDARIA"
"CR-07085",
"CR-07092","HIPOTECA MOBILIARA SOBRE AUTOMOVIL"
"CR-07139","HIPOTECA MOVILIARIA SOBRE VEHICULO"
"CR-07144","FIANZA SOLIDARIA"
"CR-07147","HIPOTECA MOVILIARIA SOBRE VEHICULO"
"CR-07148","FIANZA SOLIDARIA"
"CR-07163",
"CR-07169","HIPOTECA MOBILIARIA DE VEHICULO"
"CR-07177","FIANZA SOLIDARIA"
"CR-07225",
"CR-07231","GARANTIA CON PRENDA SIN DESPLAZAMIENTO SOBRE SEMOVIENTE"
"CR-07240","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07241","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07242","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07243","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07244","CERDITO MANCOMUNADO CON LA SRA QUINTERO JAUREGUI ANA MARGARITA C.I: 12205936"
"CR-07292","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07293","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07294","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07300","FIANZA SOLIDARIA DE TODOS LOS INTEGRANTES"
"CR-07301","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07303","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07304","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07317","HIPOTECA MOBILIARIA S/VEHICULO"
"CR-07318",
"CR-07319","FIANZA SOLIDARIA"
"CR-07323","FIANZA SOLIDARIA"
"CR-07330","HIPOTECA MOBILIARIA S/UNIDAD DE TRANSPORTE"
"CR-07331","HIPOTECA MOBILIARIA S/UNIDAD DE TRANSPORTE"
"CR-07334","HIPOTECA MOBILIARIA S/UNIDA DE TRANSPORTE"
"CR-07337","HIPOTECA MOBILIARIO S/UNIDAD DE TRANSPORTE"
"CR-07338","HIPOTECA MOBILIARIA S/UNIDAD DE TRANSPORTE"
"CR-07339","HIPOTECA MOBILIARIA S/UNIDAD DE TRANSPORTE"
"CR-07340","FIANZA SOLIDARIA"
"CR-07341","FIANZA SOLIDARIA"
"CR-07342","FIANZA SOLIDARIA"
"CR-07350","GARANTIA MOBILIARIA SOBRE EL VEHICULO"
"CR-07351","HIPOTECA MOBILIARIA SOBRE EL VEHICULO"
"CR-07353","HIPOTECA ESPECIAL DE PRIMER GRADO SOBRE UN INMUEBLE PROPIEDAD DE LA SRA FUMERO DE PEÑA MARIA VICTORIA"
"CR-07354","FIANZA SOLIDARIA POR PARTE DE TODOS LOS INTEGRANTES DE LA COOPERATIVA"
"CR-07355","GARANTIA SOBRE LOS EQUIPOS"
"CR-07356","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07358","PRENDA SIN DESPLAZAMIENTO SOBRE MAQUINA Y EQUIPOS"
"CR-07359","GARANTIA REAL"
"CR-07360","FIANZA PERSONAL"
"CR-07363","FIANZA PERSONAL"
"CR-07364","FIANZA PERSONAL"
"CR-07365","HIPOTECA MOBILIARIA S/LA UNIDAD DE TRANSPORTE"
"CR-07366","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07367","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07369","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07370","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07371","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07372","FIANZA SOLIDARIA"
"CR-07373","GARANTIA REAL"
"CR-07374","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07375","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07376","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07377","HIPOTECA MOBILIARIA SOBRE LA UNIDAD DE TRANSPORTE"
"CR-07378","FIANZA SOLIDARIA"
"CR-07380","FIANZA SOLIDARIA"
"CR-07381","FIANZA SOLIDARIA"
"CR-07382","FIANZA SOLIDARIA"
"CR-07383","FIANZA SOLIDARIA"
"CR-07384","FIANZA SOLIDARIA"
"CR-07385","FIANZA SOLIDARIA"
"CR-07386","PRENDA SIN DESPLAZAMIENTO S/MAQ. Y EQUIPOS"
"CR-07387","HIPOTECA MOBILIARIA S/UNIDAD DE TRANSPORTE"
